truth,pred,time
2,4,215724.0
1,7,215727.0
0,0,215728.0
7,7,215730.0
0,3,215762.0
2,2,215723.0
2,2,215771.0
3,3,215771.0
1,3,215722.0
4,4,215727.0
7,7,215759.0
0,0,215773.0
5,5,215769.0
4,4,215728.0
1,1,215728.0
5,5,215725.0
3,3,215768.0
4,4,215774.0
5,5,215769.0
5,5,215724.0
7,7,215719.0
4,4,215772.0
5,5,215770.0
3,3,215729.0
3,1,215773.0
2,2,215725.0
3,0,215727.0
2,2,215727.0
7,7,215728.0
0,0,215774.0
0,0,215728.0
0,3,215771.0
3,3,215770.0
7,3,215728.0
5,5,215775.0
1,1,215729.0
3,3,215779.0
1,1,215773.0
6,3,215772.0
1,1,215741.0
5,5,215776.0
4,4,215750.0
5,5,215724.0
7,7,215776.0
2,2,215774.0
4,4,215727.0
0,0,215769.0
3,3,215772.0
0,5,215772.0
5,5,215770.0
3,3,215727.0
1,3,215776.0
7,7,215774.0
5,5,215771.0
5,7,215774.0
7,7,215729.0
0,0,215725.0
1,0,215773.0
2,2,215734.0
3,3,215775.0
3,3,215783.0
5,5,215774.0
5,5,215728.0
0,0,215725.0
6,6,215748.0
0,0,215770.0
5,6,215743.0
5,5,215773.0
1,6,215727.0
5,5,215769.0
7,7,215727.0
7,7,215769.0
4,2,215727.0
7,7,215771.0
4,4,215730.0
3,3,215772.0
0,3,215728.0
7,7,215770.0
2,2,215721.0
4,4,215748.0
0,0,215730.0
1,1,215723.0
7,7,215780.0
7,7,215749.0
2,2,215729.0
1,1,215745.0
1,1,215730.0
7,7,215728.0
3,3,215751.0
5,5,215725.0
5,5,215773.0
1,1,215728.0
0,3,215774.0
6,6,215724.0
2,2,215770.0
1,1,215727.0
7,7,215773.0
2,2,215723.0
7,7,215772.0
6,6,215726.0
4,4,215771.0
5,5,215726.0
3,3,215771.0
5,5,215730.0
4,4,215748.0
1,3,215725.0
4,4,215724.0
0,0,215776.0
3,7,215772.0
7,7,215759.0
7,7,215747.0
1,0,215726.0
5,5,215776.0
5,6,215753.0
5,5,215771.0
3,3,215728.0
1,0,215766.0
2,2,215748.0
5,6,215759.0
4,4,215775.0
0,1,215747.0
2,0,215747.0
4,4,215778.0
5,5,215775.0
0,4,215726.0
7,7,215747.0
1,1,215725.0
4,4,215772.0
2,2,215728.0
2,4,215746.0
7,7,215733.0
0,0,215773.0
7,7,215730.0
4,4,215746.0
5,5,215772.0
6,6,215725.0
1,1,215777.0
3,3,215729.0
7,7,215759.0
0,2,215745.0
7,7,215757.0
0,0,215729.0
4,4,215749.0
6,6,215753.0
2,2,215772.0
7,7,215729.0
7,7,215730.0
6,6,215731.0
4,4,215775.0
6,6,215729.0
5,5,215724.0
1,0,215761.0
2,2,215773.0
2,2,215760.0
1,3,215778.0
7,7,215733.0
0,0,215728.0
3,3,215773.0
3,3,215724.0
5,5,215768.0
6,6,215771.0
4,4,215776.0
6,6,215770.0
4,4,215733.0
2,2,215725.0
2,2,215732.0
7,7,215725.0
1,0,215771.0
3,3,215731.0
1,1,215725.0
7,4,215774.0
5,5,215773.0
6,6,215730.0
1,1,215730.0
4,4,215744.0
5,5,215775.0
2,4,215732.0
3,7,215774.0
0,0,215734.0
2,2,215775.0
7,7,215725.0
0,0,215775.0
3,4,215727.0
7,7,215745.0
6,6,215729.0
0,0,215768.0
6,6,215728.0
6,6,215771.0
4,4,215719.0
7,7,215772.0
3,3,215731.0
5,5,215728.0
0,1,215730.0
4,4,215727.0
3,3,215769.0
5,5,215727.0
7,7,215771.0
1,1,215723.0
1,3,215747.0
0,2,215745.0
3,3,215750.0
0,1,215781.0
3,3,215740.0
4,4,215731.0
4,4,215729.0
5,5,215729.0
4,4,215772.0
1,1,215722.0
2,2,215771.0
5,1,215774.0
6,6,215763.0
7,7,215778.0
3,3,215723.0
5,5,215729.0
3,3,215726.0
4,4,215774.0
5,5,215758.0
7,7,215728.0
0,0,215772.0
3,3,215773.0
1,1,215730.0
4,4,215773.0
2,2,215757.0
5,5,215749.0
0,0,215761.0
0,0,215776.0
7,7,215776.0
6,6,215729.0
2,2,215729.0
0,3,215756.0
4,4,215771.0
3,7,215773.0
5,5,215762.0
6,6,215746.0
5,5,215732.0
2,4,215775.0
0,0,215721.0
0,0,215775.0
7,7,215730.0
5,5,215771.0
1,6,215731.0
1,4,215769.0
5,5,215745.0
1,3,215774.0
5,5,215770.0
5,2,215725.0
7,7,215757.0
6,6,215748.0
0,1,215759.0
1,2,215748.0
3,3,215772.0
7,7,215747.0
3,7,215758.0
7,7,215729.0
4,4,215748.0
3,3,215733.0
7,7,215758.0
5,5,215728.0
5,5,215774.0
5,5,215748.0
0,0,215776.0
1,1,215736.0
6,6,215741.0
6,6,215747.0
7,7,215777.0
6,2,215726.0
2,2,215769.0
6,6,215728.0
4,2,215781.0
7,7,215727.0
7,7,215753.0
1,1,215718.0
5,5,215747.0
4,4,215730.0
7,7,215770.0
5,5,215757.0
4,4,215776.0
5,5,215757.0
2,2,215771.0
5,6,215729.0
5,5,215777.0
3,3,215746.0
4,4,215772.0
1,3,215756.0
1,1,215747.0
1,1,215764.0
0,0,215774.0
3,3,215726.0
0,5,215745.0
2,2,215775.0
3,0,215745.0
4,4,215728.0
0,0,215761.0
4,4,215725.0
4,4,215730.0
5,5,215759.0
4,6,215739.0
5,5,215757.0
6,6,215753.0
0,2,215746.0
5,5,215750.0
3,1,215762.0
5,5,215762.0
3,3,215773.0
3,3,215730.0
4,6,215753.0
4,4,215727.0
4,6,215741.0
0,5,215758.0
0,0,215774.0
5,5,215773.0
1,1,215768.0
5,5,215724.0
3,1,215750.0
3,3,215730.0
2,2,215742.0
1,0,215722.0
0,0,215731.0
4,4,215771.0
0,0,215748.0
3,3,215760.0
3,1,215745.0
6,6,215754.0
0,3,215730.0
4,4,215757.0
4,4,215759.0
6,6,215732.0
5,4,215729.0
6,6,215732.0
4,4,215763.0
5,5,215775.0
2,2,215731.0
0,0,215772.0
1,1,215730.0
0,0,215767.0
0,3,215724.0
6,6,215757.0
1,3,215722.0
3,1,215726.0
1,1,215761.0
3,1,215745.0
4,4,215748.0
1,1,215742.0
5,5,215761.0
1,1,215744.0
2,2,215772.0
2,2,215771.0
0,2,215778.0
7,7,215750.0
3,3,215758.0
7,7,215748.0
2,2,215773.0
0,0,215773.0
6,6,215761.0
5,5,215757.0
6,6,215732.0
7,7,215779.0
2,2,215748.0
0,4,215729.0
5,5,215769.0
4,4,215724.0
0,0,215774.0
3,1,215727.0
6,6,215774.0
5,6,215758.0
6,6,215755.0
2,2,215778.0
6,6,215768.0
4,4,215774.0
2,2,215749.0
2,2,215757.0
4,4,215729.0
7,7,215779.0
7,0,215747.0
0,1,215760.0
7,2,215728.0
3,3,215742.0
7,7,215757.0
3,0,215753.0
4,4,215748.0
7,7,215779.0
7,7,215760.0
3,3,215776.0
6,6,215755.0
3,3,215746.0
6,6,215761.0
0,0,215761.0
0,0,215728.0
5,6,215771.0
0,3,215747.0
6,6,215765.0
7,7,215731.0
7,7,215772.0
6,6,215774.0
1,3,215725.0
6,6,215776.0
4,4,215774.0
7,7,215728.0
1,1,215746.0
0,0,215728.0
7,7,215747.0
1,0,215724.0
4,4,215744.0
1,1,215773.0
4,4,215774.0
3,3,215756.0
4,4,215752.0
0,0,215776.0
3,3,215748.0
5,5,215768.0
7,7,215747.0
3,1,215747.0
5,1,215756.0
5,5,215771.0
7,7,215756.0
3,3,215778.0
7,2,215773.0
7,7,215774.0
6,6,215748.0
0,0,215745.0
4,4,215759.0
1,1,215729.0
0,0,215780.0
3,3,215746.0
0,0,215747.0
2,2,215763.0
7,7,215757.0
7,7,215747.0
0,0,215754.0
6,6,215758.0
7,7,215758.0
2,2,215746.0
3,3,215730.0
4,4,215749.0
0,0,215761.0
4,4,215742.0
5,5,215755.0
5,1,215729.0
0,0,215748.0
6,6,215755.0
7,7,215757.0
6,6,215755.0
2,2,215773.0
5,5,215726.0
7,7,215752.0
2,7,215757.0
1,1,215775.0
3,1,215755.0
1,1,215772.0
1,1,215727.0
0,0,215772.0
4,4,215730.0
0,0,215769.0
3,0,215729.0
0,0,215745.0
0,0,215754.0
0,0,215774.0
3,3,215761.0
0,0,215775.0
5,5,215745.0
0,0,215761.0
6,6,215776.0
7,7,215731.0
7,7,215756.0
6,6,215764.0
5,5,215757.0
3,3,215727.0
0,0,215754.0
0,0,215773.0
3,3,215762.0
3,1,215754.0
2,2,215756.0
5,5,215757.0
3,3,215771.0
2,2,215750.0
3,0,215761.0
7,7,215770.0
5,5,215773.0
0,0,215746.0
1,6,215745.0
3,3,215728.0
2,2,215744.0
4,4,215771.0
4,4,215746.0
3,3,215755.0
5,5,215746.0
7,2,215755.0
0,0,215778.0
3,0,215774.0
0,0,215745.0
7,7,215757.0
0,0,215755.0
4,4,215772.0
2,3,215765.0
0,0,215772.0
0,0,215748.0
5,0,215763.0
3,3,215745.0
3,1,215756.0
4,4,215749.0
7,2,215769.0
2,2,215743.0
6,6,215754.0
5,5,215750.0
3,3,215762.0
4,2,215748.0
7,7,215747.0
1,1,215725.0
3,2,215756.0
2,2,215728.0
1,2,215771.0
3,3,215753.0
7,7,215742.0
7,7,215727.0
3,3,215734.0
2,2,215752.0
0,1,215728.0
4,4,215755.0
5,5,215772.0
4,4,215760.0
3,3,215738.0
4,4,215725.0
4,4,215742.0
1,1,215753.0
5,5,215746.0
1,1,215746.0
3,3,215726.0
3,3,215756.0
4,4,215753.0
3,3,215746.0
1,3,215772.0
1,0,215742.0
4,4,215758.0
4,4,215748.0
3,3,215744.0
7,7,215759.0
3,3,215724.0
4,4,215771.0
2,3,215743.0
6,6,215758.0
3,3,215762.0
0,0,215759.0
4,4,215743.0
7,7,215765.0
4,4,215725.0
6,6,215764.0
5,5,215730.0
0,0,215747.0
6,6,215733.0
2,2,215772.0
3,0,215743.0
7,7,215777.0
1,3,215745.0
6,6,215774.0
6,6,215758.0
1,6,215756.0
2,2,215727.0
6,6,215750.0
3,3,215773.0
7,7,215743.0
0,0,215746.0
6,2,215749.0
1,6,215745.0
1,1,215758.0
6,6,215759.0
7,7,215728.0
0,1,215754.0
5,0,215748.0
0,3,215745.0
2,2,215760.0
5,2,215768.0
3,3,215746.0
1,1,215756.0
5,5,215773.0
5,5,215749.0
6,6,215759.0
5,5,215745.0
7,7,215726.0
1,1,215745.0
6,6,215756.0
0,1,215744.0
6,6,215756.0
0,3,215748.0
2,7,215762.0
1,0,215747.0
4,4,215764.0
3,3,215747.0
3,2,215758.0
6,6,215753.0
4,4,215762.0
4,4,215741.0
4,4,215726.0
6,6,215744.0
3,3,215756.0
1,0,215757.0
3,1,215743.0
6,6,215745.0
7,3,215745.0
7,4,215750.0
7,7,215771.0
4,4,215764.0
1,3,215748.0
4,3,215761.0
3,1,215773.0
4,4,215746.0
5,5,215751.0
0,0,215759.0
1,1,215746.0
5,5,215773.0
5,5,215750.0
6,4,215747.0
6,5,215750.0
1,1,215755.0
2,7,215751.0
7,7,215775.0
1,1,215756.0
2,2,215775.0
5,5,215749.0
0,0,215763.0
7,2,215747.0
7,7,215776.0
5,2,215772.0
4,4,215750.0
2,2,215762.0
6,1,215756.0
0,0,215731.0
6,6,215724.0
6,4,215728.0
7,0,215743.0
6,2,215721.0
4,4,215749.0
7,7,215760.0
3,3,215748.0
4,4,215775.0
4,4,215774.0
2,2,215745.0
0,6,215782.0
4,4,215755.0
2,2,215760.0
2,2,215772.0
1,3,215755.0
6,6,215774.0
1,1,215747.0
5,5,215761.0
0,0,215748.0
1,1,215775.0
1,1,215762.0
1,1,215771.0
7,2,215758.0
6,6,215775.0
7,7,215762.0
6,6,215772.0
2,2,215728.0
2,2,215755.0
3,3,215756.0
4,4,215760.0
2,2,215774.0
3,3,215746.0
3,0,215732.0
6,6,215745.0
4,4,215755.0
4,4,215741.0
2,2,215759.0
0,6,215740.0
1,1,215756.0
3,0,215750.0
2,2,215774.0
7,7,215746.0
6,6,215775.0
5,5,215747.0
5,5,215777.0
5,5,215754.0
4,4,215754.0
4,4,215747.0
3,3,215746.0
4,4,215747.0
0,0,215774.0
3,3,215756.0
3,1,215742.0
2,2,215721.0
2,2,215730.0
0,0,215755.0
4,4,215748.0
6,6,215741.0
0,0,215753.0
1,1,215755.0
0,0,215745.0
5,5,215746.0
7,0,215743.0
1,0,215756.0
0,0,215758.0
1,4,215756.0
1,1,215748.0
7,7,215775.0
0,0,215773.0
2,2,215749.0
1,1,215776.0
1,1,215743.0
5,5,215765.0
3,3,215746.0
4,4,215766.0
1,1,215749.0
1,6,215751.0
4,4,215747.0
0,0,215764.0
5,5,215745.0
4,2,215756.0
2,2,215747.0
7,7,215757.0
2,2,215746.0
6,6,215762.0
7,2,215746.0
7,7,215753.0
6,6,215774.0
2,2,215773.0
2,2,215757.0
3,3,215759.0
7,7,215747.0
5,5,215746.0
5,5,215754.0
1,1,215773.0
3,3,215745.0
3,1,215745.0
4,6,215740.0
6,6,215761.0
1,1,215755.0
6,6,215746.0
5,5,215754.0
4,4,215757.0
0,0,215762.0
5,5,215774.0
2,2,215747.0
5,0,215759.0
5,0,215772.0
1,1,215746.0
2,2,215755.0
5,5,215775.0
0,6,215743.0
2,2,215751.0
7,7,215747.0
0,3,215741.0
0,0,215744.0
0,0,215761.0
2,2,215757.0
6,5,215751.0
1,6,215776.0
3,3,215749.0
5,5,215747.0
4,4,215746.0
0,3,215746.0
1,3,215754.0
7,7,215744.0
2,2,215774.0
6,6,215759.0
2,2,215753.0
1,1,215772.0
2,2,215745.0
2,2,215748.0
5,5,215742.0
3,2,215757.0
5,4,215748.0
5,0,215776.0
1,1,215750.0
0,3,215750.0
4,2,215771.0
7,7,215751.0
0,0,215743.0
7,7,215746.0
7,2,215757.0
6,6,215757.0
2,2,215747.0
5,5,215756.0
5,5,215758.0
4,4,215758.0
3,1,215752.0
3,3,215760.0
5,5,215744.0
5,6,215748.0
4,4,215747.0
6,6,215749.0
2,2,215746.0
3,1,215757.0
7,7,215748.0
5,5,215747.0
2,2,215773.0
3,1,215754.0
5,5,215742.0
3,3,215745.0
2,4,215747.0
0,0,215754.0
6,4,215746.0
1,1,215748.0
5,5,215749.0
6,6,215761.0
5,5,215757.0
5,5,215746.0
1,1,215744.0
5,5,215772.0
1,3,215773.0
2,2,215757.0
4,4,215758.0
0,0,215756.0
2,2,215758.0
7,7,215757.0
5,5,215748.0
4,4,215756.0
2,7,215746.0
1,0,215758.0
0,0,215747.0
4,4,215763.0
3,3,215757.0
1,1,215747.0
4,4,215754.0
4,4,215751.0
3,3,215746.0
7,7,215744.0
1,3,215783.0
1,1,215752.0
6,0,215758.0
2,2,215747.0
6,6,215743.0
3,1,215772.0
2,2,215757.0
7,7,215775.0
5,5,215755.0
5,5,215749.0
2,2,215760.0
3,1,215756.0
0,0,215748.0
7,7,215746.0
7,2,215777.0
1,3,215748.0
6,6,215755.0
7,1,215758.0
5,5,215758.0
2,2,215745.0
4,4,215748.0
0,0,215757.0
7,7,215757.0
6,6,215762.0
7,7,215785.0
7,7,215758.0
4,6,215774.0
1,1,215777.0
5,5,215777.0
0,0,215756.0
6,6,215753.0
7,7,215758.0
0,0,215744.0
5,6,215755.0
7,7,215745.0
4,4,215747.0
4,4,215772.0
1,6,215778.0
6,6,215749.0
0,0,215780.0
4,4,215743.0
4,4,215754.0
4,4,215749.0
6,5,215723.0
4,4,215747.0
7,7,215748.0
5,5,215749.0
1,1,215744.0
5,5,215758.0
4,4,215754.0
1,1,215744.0
2,2,215760.0
4,4,215744.0
1,1,215769.0
4,4,215769.0
4,4,215758.0
1,1,215779.0
0,0,215747.0
0,0,215779.0
2,2,215749.0
4,4,215758.0
7,7,215749.0
0,2,215759.0
0,0,215748.0
2,2,215773.0
6,6,215745.0
4,4,215754.0
3,1,215747.0
4,4,215771.0
6,6,215773.0
7,7,215745.0
2,2,215745.0
6,6,215745.0
3,3,215748.0
5,5,215754.0
4,4,215761.0
3,3,215746.0
2,4,215746.0
5,5,215756.0
4,4,215724.0
0,0,215751.0
0,0,215749.0
4,4,215755.0
5,5,215749.0
2,2,215749.0
2,2,215778.0
1,1,215773.0
7,7,215759.0
3,3,215755.0
2,3,215745.0
6,6,215777.0
1,1,215775.0
0,0,215777.0
2,2,215773.0
3,3,215745.0
1,1,215775.0
2,2,215747.0
2,2,215744.0
7,7,215748.0
3,3,215759.0
5,5,215747.0
0,0,215773.0
4,4,215748.0
5,5,215751.0
2,2,215754.0
3,1,215745.0
2,4,215744.0
3,1,215754.0
4,4,215751.0
2,2,215757.0
1,1,215747.0
0,0,215753.0
5,5,215748.0
3,3,215755.0
5,5,215777.0
5,5,215745.0
3,3,215773.0
1,1,215756.0
6,6,215783.0
5,5,215747.0
0,0,215750.0
7,0,215757.0
0,0,215759.0
7,7,215757.0
5,1,215773.0
3,3,215774.0
5,5,215756.0
1,1,215745.0
2,2,215761.0
2,7,215744.0
4,4,215728.0
0,0,215722.0
1,1,215752.0
0,0,215746.0
7,7,215759.0
2,2,215780.0
7,7,215758.0
2,2,215774.0
7,7,215777.0
0,0,215744.0
7,7,215757.0
0,0,215766.0
0,0,215723.0
3,3,215781.0
2,2,215755.0
7,7,215762.0
4,4,215729.0
0,0,215745.0
2,2,215728.0
3,3,215757.0
5,5,215748.0
2,4,215771.0
2,2,215745.0
0,0,215775.0
3,0,215756.0
3,7,215778.0
1,3,215773.0
1,1,215748.0
3,1,215753.0
3,3,215742.0
1,1,215773.0
1,3,215756.0
4,4,215784.0
0,0,215746.0
1,1,215747.0
5,5,215747.0
3,4,215735.0
1,1,215770.0
3,3,215754.0
6,6,215754.0
7,7,215747.0
5,5,215748.0
4,4,215757.0
1,1,215744.0
1,1,215757.0
6,6,215745.0
6,6,215745.0
6,6,215746.0
2,2,215778.0
7,7,215757.0
6,6,215747.0
3,0,215775.0
7,7,215728.0
0,0,215746.0
0,0,215747.0
1,1,215741.0
0,0,215772.0
4,4,215745.0
6,1,215775.0
6,6,215723.0
5,5,215754.0
2,2,215748.0
2,4,215776.0
4,4,215771.0
0,6,215746.0
3,3,215755.0
5,6,215752.0
4,4,215773.0
6,6,215753.0
5,5,215745.0
4,4,215749.0
1,0,215769.0
2,2,215728.0
6,6,215746.0
5,5,215751.0
3,1,215748.0
0,0,215728.0
1,1,215756.0
2,2,215724.0
3,0,215750.0
1,3,215743.0
5,5,215750.0
4,4,215726.0
0,0,215757.0
3,3,215740.0
0,0,215746.0
7,7,215761.0
6,6,215770.0
0,0,215727.0
5,5,215734.0
5,5,215752.0
5,5,215741.0
0,0,215728.0
4,4,215773.0
6,6,215741.0
2,2,215777.0
4,4,215727.0
4,4,215756.0
0,3,215780.0
5,5,215770.0
2,4,215727.0
0,0,215728.0
5,5,215746.0
4,4,215747.0
2,2,215780.0
2,2,215756.0
5,5,215747.0
0,1,215755.0
2,2,215753.0
4,4,215774.0
1,1,215757.0
4,4,215774.0
1,1,215773.0
5,5,215755.0
7,7,215757.0
7,7,215748.0
6,6,215775.0
3,3,215747.0
7,2,215778.0
0,0,215732.0
6,0,215781.0
0,5,215775.0
1,1,215748.0
7,7,215752.0
1,1,215755.0
2,2,215743.0
6,1,215723.0
5,5,215744.0
7,7,215754.0
3,3,215745.0
4,4,215751.0
0,0,215773.0
1,1,215750.0
5,5,215747.0
5,5,215754.0
5,5,215743.0
1,1,215728.0
6,6,215745.0
5,5,215724.0
5,5,215743.0
4,4,215725.0
3,0,215743.0
5,5,215755.0
0,0,215776.0
2,2,215757.0
1,0,215779.0
6,6,215753.0
4,4,215773.0
6,3,215751.0
6,6,215752.0
5,5,215753.0
5,5,215723.0
2,2,215749.0
7,7,215755.0
3,3,215746.0
2,2,215776.0
4,4,215728.0
0,0,215726.0
3,3,215743.0
4,2,215774.0
4,4,215746.0
0,0,215728.0
0,3,215770.0
2,2,215757.0
2,2,215775.0
2,2,215720.0
0,2,215748.0
0,0,215751.0
6,6,215749.0
5,5,215753.0
7,7,215776.0
2,2,215746.0
6,6,215746.0
3,1,215757.0
6,6,215772.0
5,1,215725.0
3,3,215748.0
1,3,215733.0
6,6,215757.0
3,3,215747.0
3,2,215745.0
5,5,215753.0
6,1,215747.0
3,3,215751.0
7,7,215758.0
2,4,215774.0
6,6,215753.0
4,4,215772.0
3,3,215779.0
2,2,215756.0
4,4,215732.0
7,7,215774.0
7,2,215778.0
4,6,215775.0
3,3,215774.0
0,5,215776.0
2,2,215749.0
7,7,215748.0
2,4,215757.0
0,0,215778.0
0,0,215755.0
0,0,215747.0
0,1,215776.0
5,5,215773.0
4,4,215771.0
5,5,215778.0
1,0,215758.0
3,3,215773.0
2,2,215745.0
3,3,215759.0
4,4,215746.0
5,5,215743.0
4,4,215745.0
3,3,215749.0
1,1,215756.0
7,7,215759.0
2,2,215747.0
0,1,215742.0
6,6,215779.0
6,6,215757.0
4,4,215747.0
5,5,215751.0
1,1,215728.0
2,2,215774.0
2,6,215770.0
6,5,215753.0
6,6,215727.0
2,2,215755.0
4,4,215774.0
2,2,215723.0
4,4,215741.0
6,6,215728.0
2,2,215771.0
5,5,215753.0
7,7,215775.0
5,5,215753.0
1,1,215743.0
2,3,215747.0
5,5,215779.0
6,6,215742.0
2,2,215748.0
0,6,215746.0
1,1,215754.0
3,3,215760.0
4,4,215754.0
0,0,215744.0
6,6,215727.0
6,1,215747.0
1,0,215754.0
7,7,215744.0
6,6,215776.0
0,0,215724.0
2,3,215753.0
2,2,215772.0
3,3,215774.0
6,6,215768.0
6,0,215746.0
3,1,215753.0
4,4,215757.0
0,0,215741.0
5,5,215754.0
0,0,215775.0
6,6,215755.0
0,0,215773.0
7,7,215746.0
7,7,215753.0
4,4,215747.0
5,5,215754.0
5,0,215748.0
4,4,215771.0
0,1,215728.0
2,2,215727.0
3,2,215775.0
2,2,215782.0
3,1,215727.0
3,3,215779.0
1,3,215755.0
1,1,215723.0
1,1,215732.0
2,2,215753.0
0,0,215727.0
1,1,215776.0
5,5,215774.0
5,5,215772.0
0,0,215771.0
5,6,215749.0
3,3,215725.0
5,5,215771.0
2,2,215743.0
3,3,215730.0
4,4,215743.0
3,3,215725.0
7,7,215771.0
5,5,215770.0
5,5,215746.0
5,5,215756.0
7,7,215770.0
5,5,215749.0
6,5,215743.0
1,1,215743.0
5,5,215779.0
3,3,215754.0
5,5,215765.0
3,3,215743.0
1,6,215772.0
7,7,215751.0
3,3,215753.0
7,4,215724.0
2,2,215754.0
4,4,215745.0
3,1,215751.0
6,6,215729.0
2,3,215738.0
3,3,215774.0
0,7,215743.0
5,5,215778.0
7,7,215783.0
5,5,215743.0
3,6,215754.0
1,1,215771.0
5,5,215726.0
4,4,215745.0
0,0,215746.0
1,3,215745.0
2,2,215745.0
5,5,215777.0
4,2,215726.0
2,2,215748.0
5,5,215746.0
4,4,215771.0
6,6,215727.0
0,3,215746.0
3,0,215749.0
2,0,215771.0
7,7,215758.0
2,2,215745.0
6,6,215724.0
7,2,215753.0
1,1,215731.0
5,5,215782.0
5,6,215728.0
3,3,215758.0
4,4,215772.0
0,0,215781.0
2,2,215773.0
4,4,215774.0
6,6,215747.0
7,7,215755.0
7,7,215747.0
1,1,215772.0
1,3,215779.0
0,0,215755.0
3,3,215728.0
6,6,215756.0
5,0,215775.0
1,1,215745.0
3,1,215729.0
1,0,215726.0
5,5,215770.0
0,0,215728.0
3,3,215770.0
2,7,215752.0
0,0,215754.0
1,1,215768.0
2,2,215746.0
0,0,215744.0
1,1,215776.0
5,5,215726.0
2,2,215773.0
1,1,215744.0
6,6,215755.0
6,6,215746.0
6,5,215771.0
1,1,215747.0
4,4,215774.0
5,5,215726.0
5,5,215754.0
5,6,215744.0
1,3,215774.0
1,1,215729.0
1,1,215752.0
0,0,215744.0
4,2,215753.0
2,2,215721.0
5,5,215774.0
7,7,215729.0
6,6,215751.0
0,1,215731.0
7,7,215773.0
2,2,215720.0
7,7,215764.0
6,6,215728.0
2,2,215727.0
4,4,215729.0
0,3,215777.0
4,4,215731.0
5,5,215729.0
0,0,215726.0
5,5,215772.0
3,0,215770.0
5,5,215726.0
5,5,215769.0
2,2,215769.0
3,3,215769.0
0,0,215728.0
7,0,215779.0
7,7,215729.0
3,3,215742.0
1,1,215753.0
7,7,215770.0
6,2,215728.0
5,0,215772.0
1,1,215748.0
5,5,215769.0
4,4,215747.0
2,2,215774.0
5,5,215746.0
2,2,215783.0
3,0,215731.0
4,4,215726.0
1,1,215749.0
5,5,215752.0
7,7,215732.0
2,5,215768.0
3,3,215742.0
0,0,215774.0
4,4,215769.0
7,7,215772.0
0,0,215771.0
2,2,215725.0
3,0,215740.0
5,5,215754.0
